Club,Year,Player,Player ID,Team ID,Appearances
arsenal,2000,Martin Keown,16,arsenal_2000,27
arsenal,2000,Freddie Ljungberg,9,arsenal_2000,22
arsenal,2000,Oleg Luzhny,22,arsenal_2000,16
arsenal,2000,Stefan Malz,27,arsenal_2000,2
arsenal,2000,Alex Manninger,1,arsenal_2000,14
arsenal,2000,Brian McGovern,3,arsenal_2000,0
arsenal,2000,Marc Overmars,15,arsenal_2000,22
arsenal,2000,Ray Parlour,25,arsenal_2000,29
arsenal,2000,Emmanuel Petit,8,arsenal_2000,24
arsenal,2000,David Seaman,5,arsenal_2000,24
arsenal,2000,Davor Suker,6,arsenal_2000,8
arsenal,2000, Sylvinho,629,arsenal_2000,23
arsenal,2000,Matthew Upson,17,arsenal_2000,5
arsenal,2000,Paolo Vernazza,24,arsenal_2000,1
arsenal,2000,Patrick Vieira,23,arsenal_2000,29
arsenal,2000,Nelson Vivas,18,arsenal_2000,1
arsenal,2000,Rhys Weston,26,arsenal_2000,1
arsenal,2000,Nigel Winterburn,20,arsenal_2000,19
arsenal,2001,Tony Adams,31,arsenal_2001,26
arsenal,2001,Dennis Bergkamp,7,arsenal_2001,19
arsenal,2001,Ashley Cole,2,arsenal_2001,15
